time,pressure1
5820,4.14E-05
5820.001,4.14E-05
5820.002,4.14E-05
5820.003,4.12E-05
5820.004,4.12E-05
5820.005,4.10E-05
5820.006,4.09E-05
5820.007,4.09E-05
5820.008,4.07E-05
5820.009,4.05E-05
5820.01,4.03E-05
5820.011,4.03E-05
5820.012,4.02E-05
5820.013,4.02E-05
5820.014,4.00E-05
5820.015,4.00E-05
5820.016,4.00E-05
5820.017,4.00E-05
5820.018,3.98E-05
5820.019,3.98E-05
5820.02,3.98E-05
5820.021,3.98E-05
5820.022,3.98E-05
5820.023,3.98E-05
5820.024,3.98E-05
5820.025,3.98E-05
5820.026,3.96E-05
5820.027,3.96E-05
5820.028,3.95E-05
5820.029,3.93E-05
5820.03,3.91E-05
5820.031,3.89E-05
5820.032,3.86E-05
5820.033,3.84E-05
5820.034,3.82E-05
5820.035,3.80E-05
5820.036,3.80E-05
5820.037,3.79E-05
5820.038,3.77E-05
5820.039,3.77E-05
5820.04,3.75E-05
5820.041,3.75E-05
5820.042,3.75E-05
5820.043,3.73E-05
5820.044,3.73E-05
5820.045,3.73E-05
5820.046,3.72E-05
5820.047,3.72E-05
5820.048,3.70E-05
5820.049,3.68E-05
5820.05,3.66E-05
5820.051,3.66E-05
5820.052,3.64E-05
5820.053,3.63E-05
5820.054,3.63E-05
5820.055,3.63E-05
5820.056,3.61E-05
5820.057,3.61E-05
5820.058,3.59E-05
5820.059,3.57E-05
5820.06,3.57E-05
5820.061,3.56E-05
5820.062,3.54E-05
5820.063,3.54E-05
5820.064,3.52E-05
5820.065,3.50E-05
5820.066,3.49E-05
5820.067,3.47E-05
5820.068,3.45E-05
5820.069,3.43E-05
5820.07,3.43E-05
5820.071,3.41E-05
5820.072,3.40E-05
5820.073,3.40E-05
5820.074,3.38E-05
5820.075,3.36E-05
5820.076,3.34E-05
5820.077,3.33E-05
5820.078,3.31E-05
5820.079,3.29E-05
5820.08,3.27E-05
5820.081,3.27E-05
5820.082,3.26E-05
5820.083,3.24E-05
5820.084,3.24E-05
5820.085,3.22E-05
5820.086,3.20E-05
5820.087,3.20E-05
5820.088,3.18E-05
5820.089,3.17E-05
5820.09,3.15E-05
5820.091,3.15E-05
5820.092,3.13E-05
5820.093,3.11E-05
5820.094,3.11E-05
5820.095,3.10E-05
5820.096,3.10E-05
5820.097,3.08E-05
5820.098,3.08E-05
5820.099,3.08E-05
5820.1,3.08E-05
5820.101,3.08E-05
5820.102,3.08E-05
5820.103,3.08E-05
5820.104,3.06E-05
5820.105,3.06E-05
5820.106,3.06E-05
5820.107,3.04E-05
5820.108,3.04E-05
5820.109,3.03E-05
5820.11,3.01E-05
5820.111,3.01E-05
5820.112,2.99E-05
5820.113,2.99E-05
5820.114,2.97E-05
5820.115,2.97E-05
5820.116,2.97E-05
5820.117,2.97E-05
5820.118,2.97E-05
5820.119,2.97E-05
5820.12,2.97E-05
5820.121,2.97E-05
5820.122,2.99E-05
5820.123,2.99E-05
5820.124,2.99E-05
5820.125,2.99E-05
