sample_index,time,pressure
580150,23206.0,-0.0003515040893554
580151,23206.04,-0.0003392889709472
580152,23206.08,-0.0003354603271484
580153,23206.12,-0.0003414767456054
580154,23206.16,-0.0003531449279785
580155,23206.2,-0.0003600729370117
580156,23206.24,-0.0003524156799316
580157,23206.28,-0.0003228805847167
580158,23206.32,-0.0002760255126953
580159,23206.36,-0.000223336364746
580160,23206.4,-0.0001318140411376
580161,23206.44,-1.0938923835754394e-05
580162,23206.48,9.863263702392578e-05
580163,23206.52,0.0001901549682617
580164,23206.56,0.0002521421966552
580165,23206.6,0.0002681859436035
580166,23206.64,0.0002855059204101
580167,23206.68,0.0002984503173828
580168,23206.72,0.0002896991882324
580169,23206.76,0.0002977210388183
580170,23206.8,0.0002794895019531
580171,23206.84,0.0002676390075683
580172,23206.88,0.0002492251586914
580173,23206.92,0.0002156791229248
580174,23206.96,0.0001815861358642
580175,23207.0,0.0001484047393798
580176,23207.04,0.0001124886016845
580177,23207.08,7.383773803710938e-05
580178,23207.12,3.2452140808105464e-05
580179,23207.16,-4.922515869140625e-06
580180,23207.2,-3.263445663452148e-05
580181,23207.24,-5.688240432739257e-05
580182,23207.28,-8.1859619140625e-05
580183,23207.32,-0.0001033728332519
580184,23207.36,-0.0001243391036987
580185,23207.4,-0.0001460346374511
580186,23207.44,-0.0001659070129394
580187,23207.48,-0.0001819507751464
580188,23207.52,-0.0001974475860595
580189,23207.56,-0.000211668182373
580190,23207.6,-0.0002222424774169
580191,23207.64,-0.0002335460357666
580192,23207.68,-0.0002433910675048
580193,23207.72,-0.0002494074707031
580194,23207.76,-0.0002541476745605
580195,23207.8,-0.0002594348144531
580196,23207.84,-0.0002663627929687
580197,23207.88,-0.0002659981689453
580198,23207.92,-0.0002670920715332
580199,23207.96,-0.0002754785766601
580200,23208.0,-0.0002858705444335
580201,23208.04,-0.0002893345336914
580202,23208.08,-0.0002842297058105
580203,23208.12,-0.0002776663513183
580204,23208.16,-0.000276207824707
580205,23208.2,-0.0002787602539062
580206,23208.24,-0.000276207824707
580207,23208.28,-0.0002732908020019
580208,23208.32,-0.0002754785766601
580209,23208.36,-0.0002791248779296
580210,23208.4,-0.0002804010925292
580211,23208.44,-0.0002802187805175
580212,23208.48,-0.0002763901367187
580213,23208.52,-0.0002791248779296
580214,23208.56,-0.0002847766723632
580215,23208.6,-0.0002880583496093
580216,23208.64,-0.0002876936950683
580217,23208.68,-0.0002873290710449
580218,23208.72,-0.0002856882324218
580219,23208.76,-0.0002858705444335
580220,23208.8,-0.0002856882324218
580221,23208.84,-0.000286235168457
580222,23208.88,-0.0002864175109863
580223,23208.92,-0.0002858705444335
580224,23208.96,-0.0002844120178222
580225,23209.0,-0.0002847766723632
580226,23209.04,-0.0002858705444335
580227,23209.08,-0.000286599822998
580228,23209.12,-0.0002860528564453
580229,23209.16,-0.0002855059204101
580230,23209.2,-0.0002853236083984
580231,23209.24,-0.0002855059204101
580232,23209.28,-0.0002836827697753
580233,23209.32,-0.0002824065551757
580234,23209.36,-0.0002858705444335
