sample_index,time,pressure
773025,30921.0,3.315412139892578e-05
773026,30921.04,3.602150344848633e-05
773027,30921.08,3.458781433105469e-05
773028,30921.12,3.297491073608398e-05
773029,30921.16,3.422938919067383e-05
773030,30921.2,3.422938919067383e-05
773031,30921.24,3.279569625854492e-05
773032,30921.28,3.118279457092285e-05
773033,30921.32,3.315412139892578e-05
773034,30921.36,3.727598571777344e-05
773035,30921.4,3.763440704345703e-05
773036,30921.44,3.279569625854492e-05
773037,30921.48,2.9749103546142576e-05
773038,30921.52,2.9569890975952147e-05
773039,30921.56,2.9749103546142576e-05
773040,30921.6,3.046595001220703e-05
773041,30921.64,3.064516067504883e-05
773042,30921.68,3.082437133789062e-05
773043,30921.72,3.136200714111328e-05
773044,30921.76,3.207885360717773e-05
773045,30921.8,3.118279457092285e-05
773046,30921.84,3.18996410369873e-05
773047,30921.88,3.261648559570312e-05
773048,30921.92,3.261648559570312e-05
773049,30921.96,3.3512542724609374e-05
773050,30922.0,3.405017852783203e-05
773051,30922.04,3.422938919067383e-05
773052,30922.08,3.387096786499023e-05
773053,30922.12,3.315412139892578e-05
773054,30922.16,3.440859985351562e-05
773055,30922.2,3.602150344848633e-05
773056,30922.24,3.494623565673828e-05
773057,30922.28,3.279569625854492e-05
773058,30922.32,3.02867374420166e-05
773059,30922.36,2.921146965026856e-05
773060,30922.4,3.18996410369873e-05
773061,30922.44,3.225806427001953e-05
773062,30922.48,2.831541061401367e-05
773063,30922.52,2.1505374908447266e-05
773064,30922.56,1.7562723159790038e-05
773065,30922.6,1.3440859794616698e-05
773066,30922.64,5.555555343627929e-06
773067,30922.68,-4.1218638420104975e-06
773068,30922.72,-6.810035705566406e-06
773069,30922.76,-3.2258064746856686e-06
773070,30922.8,-1.7921146750450132e-07
773071,30922.84,-9.139784812927243e-06
773072,30922.88,-2.67025089263916e-05
773073,30922.92,-4.139785003662109e-05
773074,30922.96,-5.053763198852539e-05
773075,30923.0,-5.6810035705566406e-05
773076,30923.04,-6.0394264221191406e-05
773077,30923.08,-6.05734748840332e-05
773078,30923.12,-5.627239990234375e-05
773079,30923.16,-4.569892501831055e-05
773080,30923.2,-3.3512542724609374e-05
773081,30923.24,-2.473118209838867e-05
773082,30923.28,-2.186379814147949e-05
773083,30923.32,-2.025089645385742e-05
773084,30923.36,-1.9892473220825195e-05
773085,30923.4,-2.275985527038574e-05
773086,30923.44,-2.7240142822265624e-05
773087,30923.48,-3.422938919067383e-05
773088,30923.52,-4.086021423339844e-05
773089,30923.56,-4.318996429443359e-05
773090,30923.6,-3.602150344848633e-05
773091,30923.64,-2.9032257080078124e-05
773092,30923.68,-3.082437133789062e-05
773093,30923.72,-3.387096786499023e-05
773094,30923.76,-3.655913925170898e-05
773095,30923.8,-3.870967483520508e-05
773096,30923.84,-3.02867374420166e-05
773097,30923.88,-2.634408569335937e-05
773098,30923.92,-3.620071411132812e-05
773099,30923.96,-4.516128921508789e-05
773100,30924.0,-4.480286788940429e-05
773101,30924.04,-3.136200714111328e-05
773102,30924.08,-2.0430107116699217e-05
773103,30924.12,-1.3440859794616698e-05
773104,30924.16,-3.2258064746856686e-06
773105,30924.2,5.376343727111816e-06
773106,30924.24,2.867383480072021e-06
773107,30924.28,1.2544802427291869e-06
773108,30924.32,1.863799285888672e-05
773109,30924.36,4.713261413574219e-05
773110,30924.4,7.168458557128906e-05
773111,30924.44,8.709677124023438e-05
773112,30924.48,0.0001060931854248
773113,30924.52,0.0001295698852539
773114,30924.56,0.0001564516143798
773115,30924.6,0.0001840501708984
773116,30924.64,0.0002134408569335
773117,30924.68,0.0002406809997558
773118,30924.72,0.0002580645141601
773119,30924.76,0.0002738351135253
773120,30924.8,0.000285125427246
773121,30924.84,0.0002921146850585
773122,30924.88,0.0002930107421875
773123,30924.92,0.0002903225708007
773124,30924.96,0.0002878135986328
773125,30925.0,0.0002722222290039
773126,30925.04,0.0002517921142578
773127,30925.08,0.0002254480285644
773128,30925.12,0.000203405014038
773129,30925.16,0.0001926523284912
773130,30925.2,0.0001858422851562
773131,30925.24,0.0001736559143066
773132,30925.28,0.0001557347564697
773133,30925.32,0.0001394265136718
773134,30925.36,0.0001283154144287
773135,30925.4,0.0001173835067749
773136,30925.44,0.0001007168426513
773137,30925.48,8.996415710449218e-05
773138,30925.52,8.333332824707031e-05
773139,30925.56,8.207884979248047e-05
773140,30925.6,7.096774291992187e-05
773141,30925.64,5.609318923950195e-05
773142,30925.68,4.587813568115234e-05
773143,30925.72,4.032257843017578e-05
773144,30925.76,3.727598571777344e-05
773145,30925.8,3.476702499389648e-05
773146,30925.84,3.3512542724609374e-05
773147,30925.88,3.207885360717773e-05
773148,30925.92,3.154121780395508e-05
773149,30925.96,3.082437133789062e-05
773150,30926.0,2.9749103546142576e-05
773151,30926.04,2.9749103546142576e-05
773152,30926.08,2.9569890975952147e-05
773153,30926.12,2.9032257080078124e-05
773154,30926.16,2.939068031311035e-05
773155,30926.2,2.939068031311035e-05
773156,30926.24,2.9749103546142576e-05
773157,30926.28,2.939068031311035e-05
773158,30926.32,2.921146965026856e-05
773159,30926.36,2.84946231842041e-05
773160,30926.4,3.1720428466796874e-05
773161,30926.44,3.118279457092285e-05
773162,30926.48,2.939068031311035e-05
773163,30926.52,2.634408569335937e-05
773164,30926.56,2.652329635620117e-05
773165,30926.6,3.0107526779174804e-05
773166,30926.64,3.458781433105469e-05
773167,30926.68,3.584229278564453e-05
773168,30926.72,3.3512542724609374e-05
773169,30926.76,3.261648559570312e-05
773170,30926.8,3.440859985351562e-05
773171,30926.84,3.422938919067383e-05
773172,30926.88,3.1720428466796874e-05
773173,30926.92,3.154121780395508e-05
773174,30926.96,3.3512542724609374e-05
773175,30927.0,3.673834991455078e-05
773176,30927.04,3.512544631958008e-05
773177,30927.08,3.02867374420166e-05
773178,30927.12,2.8673833847045897e-05
773179,30927.16,2.831541061401367e-05
773180,30927.2,2.921146965026856e-05
773181,30927.24,2.992831420898437e-05
773182,30927.28,3.1003583908081054e-05
773183,30927.32,3.154121780395508e-05
773184,30927.36,3.18996410369873e-05
773185,30927.4,3.136200714111328e-05
773186,30927.44,3.243727493286133e-05
773187,30927.48,3.243727493286133e-05
773188,30927.52,3.297491073608398e-05
773189,30927.56,3.279569625854492e-05
773190,30927.6,3.279569625854492e-05
773191,30927.64,3.3512542724609374e-05
773192,30927.68,3.3333332061767576e-05
773193,30927.72,3.315412139892578e-05
773194,30927.76,3.494623565673828e-05
773195,30927.8,3.673834991455078e-05
773196,30927.84,3.584229278564453e-05
773197,30927.88,3.243727493286133e-05
773198,30927.92,2.9569890975952147e-05
773199,30927.96,3.225806427001953e-05
773200,30928.0,3.440859985351562e-05
773201,30928.04,3.225806427001953e-05
773202,30928.08,2.3655914306640625e-05
773203,30928.12,1.4157705307006836e-05
773204,30928.16,9.31899642944336e-06
773205,30928.2,3.584229230880737e-06
773206,30928.24,-5.376343727111816e-06
773207,30928.28,-1.6845878601074218e-05
773208,30928.32,-2.4910392761230467e-05
773209,30928.36,-2.831541061401367e-05
773210,30928.4,-3.637992858886719e-05
773211,30928.44,-5.430107498168945e-05
773212,30928.48,-7.222222137451171e-05
773213,30928.52,-8.422938537597656e-05
773214,30928.56,-9.336917114257812e-05
773215,30928.6,-9.82078857421875e-05
773216,30928.64,-0.0001
773217,30928.68,-9.551971435546874e-05
773218,30928.72,-8.853046417236327e-05
773219,30928.76,-8.207884979248047e-05
773220,30928.8,-7.79569854736328e-05
773221,30928.84,-7.455197143554687e-05
773222,30928.88,-6.97132568359375e-05
773223,30928.92,-6.594982147216796e-05
773224,30928.96,-6.415770721435547e-05
773225,30929.0,-6.0394264221191406e-05
773226,30929.04,-5.609318923950195e-05
773227,30929.08,-6.05734748840332e-05
773228,30929.12,-6.37992820739746e-05
773229,30929.16,-6.39784927368164e-05
773230,30929.2,-6.97132568359375e-05
773231,30929.24,-7.168458557128906e-05
773232,30929.28,-5.949820709228515e-05
773233,30929.32,-4.9820785522460935e-05
773234,30929.36,-5.232974624633789e-05
773235,30929.4,-5.8602149963378906e-05
773236,30929.44,-5.465949630737305e-05
773237,30929.48,-4.086021423339844e-05
773238,30929.52,-3.18996410369873e-05
773239,30929.56,-2.275985527038574e-05
773240,30929.6,-1.111111068725586e-05
773241,30929.64,-6.093189716339111e-06
773242,30929.68,-3.5842293500900265e-07
773243,30929.72,1.7562723159790038e-05
773244,30929.76,4.802867126464844e-05
773245,30929.8,7.921146392822266e-05
773246,30929.84,9.551971435546874e-05
773247,30929.88,0.0001127240142822
773248,30929.92,0.0001322580566406
773249,30929.96,0.0001580645141601
773250,30930.0,0.0001935483856201
773251,30930.04,0.0002304659423828
773252,30930.08,0.0002637992858886
773253,30930.12,0.0002910394287109
773254,30930.16,0.0003112903137207
773255,30930.2,0.0003310035705566
773256,30930.24,0.0003295698852539
773257,30930.28,0.0003247311706542
773258,30930.32,0.0003096773986816
773259,30930.36,0.000298745513916
773260,30930.4,0.000291397857666
773261,30930.44,0.0002835125427246
773262,30930.48,0.0002629032287597
773263,30930.52,0.0002369175567626
773264,30930.56,0.0002164874572753
773265,30930.6,0.0001985662994384
773266,30930.64,0.0001767024993896
773267,30930.68,0.0001553763427734
773268,30930.72,0.0001482078857421
773269,30930.76,0.0001451612854003
773270,30930.8,0.0001369175567626
773271,30930.84,0.0001191756210327
773272,30930.88,0.0001043010711669
773273,30930.92,9.390680694580078e-05
773274,30930.96,8.637992858886718e-05
773275,30931.0,8.010752868652343e-05
773276,30931.04,7.168458557128906e-05
773277,30931.08,6.505376434326171e-05
773278,30931.12,6.021505355834961e-05
773279,30931.16,5.573476409912109e-05
773280,30931.2,5.250896072387695e-05
773281,30931.24,4.910394287109375e-05
773282,30931.28,4.749103927612305e-05
773283,30931.32,4.462365341186523e-05
773284,30931.36,4.301074981689453e-05
773285,30931.4,4.193548202514648e-05
773286,30931.44,4.032257843017578e-05
773287,30931.48,3.924731063842773e-05
773288,30931.52,3.709677505493164e-05
773289,30931.56,3.584229278564453e-05
773290,30931.6,3.781361770629883e-05
773291,30931.64,3.745519638061523e-05
773292,30931.68,3.3691757202148435e-05
773293,30931.72,2.9569890975952147e-05
773294,30931.76,3.046595001220703e-05
773295,30931.8,3.458781433105469e-05
773296,30931.84,3.924731063842773e-05
773297,30931.88,3.960573196411133e-05
773298,30931.92,3.709677505493164e-05
773299,30931.96,3.709677505493164e-05
773300,30932.0,3.853046417236328e-05
773301,30932.04,3.673834991455078e-05
773302,30932.08,3.458781433105469e-05
773303,30932.12,3.440859985351562e-05
773304,30932.16,3.655913925170898e-05
773305,30932.2,4.068100357055664e-05
773306,30932.24,3.673834991455078e-05
773307,30932.28,3.18996410369873e-05
773308,30932.32,2.9569890975952147e-05
773309,30932.36,3.02867374420166e-05
773310,30932.4,3.082437133789062e-05
773311,30932.44,3.18996410369873e-05
773312,30932.48,3.297491073608398e-05
773313,30932.52,3.3691757202148435e-05
773314,30932.56,3.297491073608398e-05
773315,30932.6,3.261648559570312e-05
773316,30932.64,3.279569625854492e-05
773317,30932.68,3.3333332061767576e-05
773318,30932.72,3.405017852783203e-05
773319,30932.76,3.405017852783203e-05
773320,30932.8,3.422938919067383e-05
773321,30932.84,3.494623565673828e-05
773322,30932.88,3.5483871459960935e-05
773323,30932.92,3.494623565673828e-05
773324,30932.96,3.3691757202148435e-05
773325,30933.0,3.584229278564453e-05
773326,30933.04,3.870967483520508e-05
773327,30933.08,3.655913925170898e-05
773328,30933.12,3.422938919067383e-05
773329,30933.16,3.1720428466796874e-05
773330,30933.2,3.405017852783203e-05
773331,30933.24,3.781361770629883e-05
773332,30933.28,4.086021423339844e-05
773333,30933.32,3.978494644165039e-05
773334,30933.36,3.799283218383789e-05
773335,30933.4,4.050179290771484e-05
773336,30933.44,4.014336776733398e-05
773337,30933.48,3.870967483520508e-05
