time,pressure1, temperature1,pressure2,temperature2,x,y,z,counter,session
11192.4333,-3.1833,21.16,0.0,20.485,0,0,512,0,80
11192.6333,-3.2,21.12,0.0,20.48,0,0,512,0,80
11192.8333,-3.2,21.12,0.0,20.48,0,0,512,0,80
11193.0333,-2.6,21.12,0.0,20.64,0,0,520,0,80
11193.2333,-2.0667,21.12,0.0,20.64,0,2,520,0,80
11193.4333,-2.1333,21.12,0.0167,20.5,0,0,512,0,80
11193.6333,-3.6667,21.12,0.0,20.52,0,0,524,0,80
11193.8333,-2.1333,21.12,0.0,20.52,0,0,512,0,80
11194.0333,-6.4,21.2,0.0,20.49,0,10,512,8,80
11194.2333,-3.6667,21.12,0.0,20.48,0,0,512,0,80
11194.4333,0.0667,21.16,0.0,20.52,2,306,512,0,80
11194.6333,2.1333,21.125,0.0,20.64,0,8,512,0,80
11194.8333,0.0,21.12,0.0,20.64,0,0,514,0,80
11195.0333,0.0,21.12,0.0,20.485,0,0,512,0,80
11195.2333,1.2667,21.12,0.0,20.52,0,0,512,0,80
11195.4333,1.1333,21.12,0.0,20.64,0,290,512,0,80
11195.6333,0.55,21.12,0.0,20.52,0,0,512,16,80
11195.8333,1.6,21.12,0.0167,20.5,0,0,512,16,80
11196.0333,1.6,21.12,0.0,20.48,0,0,512,16,80
11196.2333,0.8,21.2,0.0,20.48,0,0,512,16,80
11196.4333,-14.7333,21.12,0.0,20.48,0,0,512,16,80
11196.6333,-14.9333,21.12,0.0,20.52,2,16,512,16,80
11196.8333,-3.1833,21.12,0.0,20.54,0,16,512,16,80
11197.0333,4.2667,21.125,0.0,20.52,6,0,512,16,80
11197.2333,12.9,21.12,0.0,20.5,0,0,512,24,80
11197.4333,18.7333,21.12,0.0167,20.64,0,0,514,0,80
11197.6333,18.6833,21.12,0.0,20.64,0,4,512,0,80
11197.8333,17.7333,21.12,0.0,20.54,0,16,512,0,80
11198.0333,10.6667,21.12,0.0,20.52,0,32,520,0,80
11198.2333,-6.2667,21.12,0.0,20.52,0,16,513,0,80
11198.4333,-12.7667,21.12,0.0,20.64,0,0,512,0,80
11198.6333,-12.8,21.12,0.0,20.54,0,16,512,0,80
11198.8333,-13.5333,21.12,0.0,20.64,0,1,512,0,80
11199.0333,2.1333,21.12,0.0,20.64,0,0,514,0,80
11199.2333,0.0,21.12,0.0,20.64,0,0,516,0,80
11199.4333,0.0,21.12,0.0,20.52,0,16,512,0,80
11199.6333,0.3,21.12,0.0,20.64,0,0,512,0,80
11199.8333,1.3333,21.12,0.0,20.66,0,0,512,0,80
11200.0333,1.0667,21.12,0.0,20.485,0,4,520,0,80
11200.2333,1.1667,21.12,0.0167,20.48,0,0,512,0,80
11200.4333,0.0,21.12,0.0,20.48,0,8,512,8,80
11200.6333,0.5333,21.2,0.0,20.64,0,32,512,0,80
11200.8333,0.1333,21.12,0.0,20.52,0,16,512,0,80
11201.0333,23.4667,21.12,0.0,20.48,0,0,512,0,80
11201.2333,17.2,21.14,0.0,20.68,0,0,512,0,80
11201.4333,4.3333,21.12,0.0,20.54,0,0,512,0,80
11201.6333,-12.2667,21.12,0.0167,20.54,0,20,512,0,80
11201.8333,-20.2,21.2,0.0,20.48,0,0,520,0,80
11202.0333,-21.25,21.12,0.0167,20.48,0,0,520,16,80
