Extremum Values,Event Types,Event End Times,Event Start Times,Extremum Times,,Zelano Parameters,,,,,,,,
,,,,,,Breathing Rate,Inter-Breath Interval,Tidal Volume,Minute Ventilation,Duty Cycle,CV Duty Cycle,CV Breathing Rate,CV Breath Volumes,Inhale-Exhale Volumes
1.1001000000000347,pause,0.171,0.0,0.0,,0.30467899357616934,3.282142914621389,-0.2855296685296693,-5.219693522625413,0.4869676325169162,0.24458172840205517,3.3080661212092126,-29.799768589820953,-7.0594434121214
nan,pause,0.17200000000000001,0.171,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.8953654661340202
-9.96648155555552,exhale,1.274,0.17200000000000001,1.0,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6234039569986844
nan,pause,1.2750000000000001,1.274,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.9248084464772441
9.566828588888923,inhale,2.747,1.2750000000000001,1.55,,nan,nan,nan,nan,nan,nan,nan,nan,-1.913783597933575
nan,pause,2.748,2.747,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3990279481434662
-10.349833599999966,exhale,3.887,2.748,3.6,,nan,nan,nan,nan,nan,nan,nan,nan,-1.4362492423905735
nan,pause,3.888,3.887,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.92715163246935
8.816877466666702,inhale,5.43,3.888,4.2,,nan,nan,nan,nan,nan,nan,nan,nan,-1.5810830542576886
nan,pause,5.431,5.43,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-2.085540312506577
-10.016383799999966,exhale,6.57,5.431,6.3,,nan,nan,nan,nan,nan,nan,nan,nan,-1.839073097888246
nan,pause,6.571,6.57,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.7215716858640215
8.566925422222257,inhale,8.065,6.571,6.8,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3709165177060294
nan,pause,8.066,8.065,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6451026523354635
-10.183038611111076,exhale,9.174,8.066,8.75,,nan,nan,nan,nan,nan,nan,nan,nan,-1.519518960635577
nan,pause,9.175,9.174,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6421769224621228
10.050275222222256,inhale,10.595,9.175,9.5,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3857027111287943
nan,pause,10.714,10.595,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.9876059771402392
-9.682986966666633,exhale,11.829,10.714,11.55,,nan,nan,nan,nan,nan,nan,nan,nan,-1.5514275851453467
nan,pause,11.83,11.829,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.1347792656639042
9.717023177777813,inhale,13.307,11.83,12.1,,nan,nan,nan,nan,nan,nan,nan,nan,-1.336258307311355
nan,pause,13.308,13.307,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.306892006427912
-9.516239011111077,exhale,14.425,13.308,14.15,,nan,nan,nan,nan,nan,nan,nan,nan,-1.5340986705475732
nan,pause,14.426,14.425,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3056668422905773
7.650371133333358,inhale,15.932,14.426,14.700000000000001,,nan,nan,nan,nan,nan,nan,nan,nan,-1.1049859250584726
nan,pause,15.933,15.932,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.9995148502599056
-9.482890133333298,exhale,17.033,15.933,16.8,,nan,nan,nan,nan,nan,nan,nan,nan,-1.2742852734938057
nan,pause,17.034,17.033,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.2500090164274535
7.267120011111145,inhale,18.609,17.034,17.35,,nan,nan,nan,nan,nan,nan,nan,nan,-1.299391038224793
nan,pause,18.61,18.609,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.4381032719482443
-8.966144944444409,exhale,19.742,18.61,19.25,,nan,nan,nan,nan,nan,nan,nan,nan,-1.4780420548016933
nan,pause,19.743000000000002,19.742,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3454752174683646
8.933869811111144,inhale,21.216,19.743000000000002,20.05,,nan,nan,nan,nan,nan,nan,nan,nan,-1.311930466865694
nan,pause,21.217,21.216,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.9145370125671146
-8.716098833333298,exhale,22.248,21.217,21.75,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3010415315554749
nan,pause,22.249,22.248,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.1705563634745637
8.350515922222257,inhale,23.709,22.249,22.55,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6891575471110278
nan,pause,23.71,23.709,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6534037825224575
-9.482747188888855,exhale,24.792,23.71,24.55,,nan,nan,nan,nan,nan,nan,nan,nan,-1.8558938688892566
nan,pause,24.793,24.792,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.0466835812199164
7.717261111111146,inhale,26.2,24.793,25.0,,nan,nan,nan,nan,nan,nan,nan,nan,-1.116180967106235
nan,pause,26.201,26.2,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.858288065534936
-9.599401999999966,exhale,27.329,26.201,27.0,,nan,nan,nan,nan,nan,nan,nan,nan,-1.8771003069675842
nan,pause,27.330000000000002,27.329,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.1599271249536987
7.684009988888903,inhale,28.833000000000002,27.330000000000002,27.650000000000002,,nan,nan,nan,nan,nan,nan,nan,nan,-2.4180876828349085
nan,pause,28.834,28.833000000000002,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.0040090995849162
-10.065952199999966,exhale,29.942,28.834,29.7,,nan,nan,nan,nan,nan,nan,nan,nan,-1.430454166406136
nan,pause,29.943,29.942,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-2.0595856596852347
8.567357944444478,inhale,31.437,29.943,30.25,,nan,nan,nan,nan,nan,nan,nan,nan,-1.8195939822719058
nan,pause,31.438000000000002,31.437,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3264608821269421
-9.249307011111076,exhale,32.493,31.438000000000002,32.15,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3567575101190235
nan,pause,32.494,32.493,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6254502499092656
7.700705900000034,inhale,33.938,32.494,32.85,,nan,nan,nan,nan,nan,nan,nan,nan,-1.5890641797692098
nan,pause,33.939,33.938,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.9161078971329113
-8.882561822222188,exhale,35.065,33.939,34.6,,nan,nan,nan,nan,nan,nan,nan,nan,-1.492367170342126
nan,pause,35.066,35.065,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.1799587646585978
8.750752011111146,inhale,36.563,35.066,35.35,,nan,nan,nan,nan,nan,nan,nan,nan,-1.5559476166628974
nan,pause,36.564,36.563,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.7465252645987022
-9.482510177777742,exhale,37.638,36.564,37.4,,nan,nan,nan,nan,nan,nan,nan,nan,-1.419122032421602
nan,pause,37.639,37.638,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6757100272106022
7.8174999666667,inhale,39.235,37.639,37.95,,nan,nan,nan,nan,nan,nan,nan,nan,-1.7600383436848772
nan,pause,39.236000000000004,39.235,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.2638070682461429
-9.299159455555522,exhale,40.402,39.236000000000004,40.15,,nan,nan,nan,nan,nan,nan,nan,nan,-1.741988045435793
nan,pause,40.403,40.402,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.2639599262195755
7.5675497666667,inhale,41.99,40.403,40.65,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3840482512016008
nan,pause,41.991,41.99,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.413972578899903
-8.349108733333301,exhale,43.168,41.991,42.9,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6303834875625212
nan,pause,43.169000000000004,43.168,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.6317725049698004
7.817600488888923,inhale,44.717,43.169000000000004,43.4,,nan,nan,nan,nan,nan,nan,nan,nan,-0.9881032298588952
nan,pause,44.718,44.717,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3923994646110311
-8.999058933333298,exhale,45.911,44.718,45.6,,nan,nan,nan,nan,nan,nan,nan,nan,-1.185596072491582
nan,pause,45.912,45.911,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3318386724879363
7.884353977777601,inhale,47.585,45.912,46.300000000000004,,nan,nan,nan,nan,nan,nan,nan,nan,-0.2877000849439151
nan,pause,47.704,47.585,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.6067676565794455
-8.882303599999966,exhale,48.84,47.704,48.6,,nan,nan,nan,nan,nan,nan,nan,nan,-0.9866459406802637
nan,pause,48.841,48.84,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-2.1195628171769405
8.434405622222256,inhale,50.47,48.841,49.1,,nan,nan,nan,nan,nan,nan,nan,nan,-1.7631018571492416
nan,pause,50.471000000000004,50.47,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3559423520927139
-8.282252877777744,exhale,51.704,50.471000000000004,51.35,,nan,nan,nan,nan,nan,nan,nan,nan,-1.2526744936888887
nan,pause,51.705,51.704,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.156497003900249
7.584460033333036,inhale,53.195,51.705,52.050000000000004,,nan,nan,nan,nan,nan,nan,nan,nan,-1.2459945078239212
nan,pause,53.312,53.195,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.50693164355381
-8.298900311111078,exhale,54.429,53.312,54.2,,nan,nan,nan,nan,nan,nan,nan,nan,-1.5009482453655827
