Extremum Values,Event Types,Event End Times,Event Start Times,Extremum Times,,Zelano Parameters,,,,,,,,
,,,,,,Breathing Rate,Inter-Breath Interval,Tidal Volume,Minute Ventilation,Duty Cycle,CV Duty Cycle,CV Breathing Rate,CV Breath Volumes,Inhale-Exhale Volumes
-7.566900000000009,exhale,0.435,0.0,0.0,,0.14251771081982906,7.016671782387807,-1.1200255107189543,-9.577408310848517,0.21300526019779267,0.36150317674447996,26.32514617647732,-5.4818426490487,0.11326909322132828
nan,pause,0.436,0.435,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.15139000998142293
10.310514945978383,inhale,1.955,0.436,0.8300000000000001,,nan,nan,nan,nan,nan,nan,nan,nan,-0.7768119104705224
nan,pause,2.25,1.955,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.1308794557755082
-9.440968307322942,exhale,3.521,2.25,3.17,,nan,nan,nan,nan,nan,nan,nan,nan,0.97262067038299
nan,pause,3.5220000000000002,3.521,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.262553659862407
12.135876124775036,inhale,4.811,3.5220000000000002,3.84,,nan,nan,nan,nan,nan,nan,nan,nan,-1.5984937887222843
nan,pause,5.176,4.811,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.12912849316133368
-10.406005642256911,exhale,6.26,5.176,5.67,,nan,nan,nan,nan,nan,nan,nan,nan,-5.202778462624258
nan,pause,6.261,6.26,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.613662988289966
12.224487214885936,inhale,7.976,6.261,6.67,,nan,nan,nan,nan,nan,nan,nan,nan,0.7877208193999756
nan,pause,7.977,7.976,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.17061118740003423
-9.73350000000001,exhale,9.052,7.977,8.5,,nan,nan,nan,nan,nan,nan,nan,nan,1.4193427457999839
nan,pause,9.053,9.052,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.5501853607999667
11.06649999999999,inhale,10.939,9.053,9.5,,nan,nan,nan,nan,nan,nan,nan,nan,-0.014439149400040208
nan,pause,10.94,10.939,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.5071159513999817
-9.23350000000001,exhale,12.162,10.94,11.5,,nan,nan,nan,nan,nan,nan,nan,nan,0.08884838798998551
nan,pause,12.163,12.162,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.5600396531100271
13.94979999999999,inhale,14.124,12.163,12.5,,nan,nan,nan,nan,nan,nan,nan,nan,0.6882741199999618
nan,pause,14.125,14.124,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.4408762799999657
-6.061617226890767,exhale,15.295,14.125,14.67,,nan,nan,nan,nan,nan,nan,nan,nan,0.09462506059997633
nan,pause,15.296000000000001,15.295,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.49465778399996374
11.213827611044426,inhale,17.04,15.296000000000001,15.67,,nan,nan,nan,nan,nan,nan,nan,nan,0.5878943733999549
nan,pause,17.041,17.04,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.6116570902399827
-7.4766225690276285,exhale,18.437,17.041,17.830000000000002,,nan,nan,nan,nan,nan,nan,nan,nan,0.33179541391997347
nan,pause,18.438,18.437,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.13391790833005413
9.436788115246063,inhale,20.232,18.438,18.67,,nan,nan,nan,nan,nan,nan,nan,nan,0.8331301922499765
nan,pause,20.233,20.232,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.09556569540001458
-10.015988842231573,exhale,21.431,20.233,21.16,,nan,nan,nan,nan,nan,nan,nan,nan,0.43063536031996286
