Extremum Values,Event Types,Event End Times,Event Start Times,Extremum Times,,Zelano Parameters,,,,,,,,
,,,,,,Breathing Rate,Inter-Breath Interval,Tidal Volume,Minute Ventilation,Duty Cycle,CV Duty Cycle,CV Breathing Rate,CV Breath Volumes,Inhale-Exhale Volumes
-0.9997999999999905,exhale,21433.129700000103,21432.6167,21432.6167,,0.3923637342941034,2.5486555269922877,0.6223065289171501,14.650230813692065,0.3353737000582223,0.32737413899864,1.2246038402870898,1.8961099719252785,-0.17179874746469004
nan,pause,21433.130700000103,21433.129700000103,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.22766080215456305
1.2669138283917427,inhale,21434.261700000334,21433.130700000103,21434.116700000304,,nan,nan,nan,nan,nan,nan,nan,nan,0.19086052254647115
nan,pause,21434.262700000334,21434.261700000334,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.32808073690350964
-1.698444638715072,exhale,21435.41370000057,21434.262700000334,21434.456700000374,,nan,nan,nan,nan,nan,nan,nan,nan,0.35619337242433247
nan,pause,21435.41470000057,21435.41370000057,nan,,nan,nan,nan,nan,nan,nan,nan,nan,1.6781672657683133
0.9442918867258018,inhale,21436.020700000692,21435.41470000057,21435.946700000677,,nan,nan,nan,nan,nan,nan,nan,nan,2.201080455425869
nan,pause,21436.021700000692,21436.020700000692,nan,,nan,nan,nan,nan,nan,nan,nan,nan,2.414470907500376
-1.266467702798278,exhale,21436.25070000074,21436.021700000692,21436.11670000071,,nan,nan,nan,nan,nan,nan,nan,nan,3.7633417896047696
nan,pause,21506.309700015012,21436.25070000074,nan,,nan,nan,nan,nan,nan,nan,nan,nan,4.050520440256107
0.9169241853017733,inhale,21507.094700015172,21506.309700015012,21506.94670001514,,nan,nan,nan,nan,nan,nan,nan,nan,4.409358108007874
nan,pause,21507.095700015172,21507.094700015172,nan,,nan,nan,nan,nan,nan,nan,nan,nan,3.4835629923757
-0.34673116205804194,exhale,21508.694700015498,21507.095700015172,21507.28670001521,,nan,nan,nan,nan,nan,nan,nan,nan,3.8326248896479127
nan,pause,21508.695700015498,21508.694700015498,nan,,nan,nan,nan,nan,nan,nan,nan,nan,6.099997492325803
1.547847665601172,inhale,21509.6867000157,21508.695700015498,21509.28670001562,,nan,nan,nan,nan,nan,nan,nan,nan,2.8557107808716973
nan,pause,21509.6877000157,21509.6867000157,nan,,nan,nan,nan,nan,nan,nan,nan,nan,2.1742849779660656
-0.7151256175979867,exhale,21511.30070001603,21509.6877000157,21509.946700015753,,nan,nan,nan,nan,nan,nan,nan,nan,4.8279937261870245
nan,pause,21509.6877000157,21511.30070001603,nan,,nan,nan,nan,nan,nan,nan,nan,nan,5.186915147786132
-0.31509787194267225,exhale,21511.30070001603,21509.6877000157,21510.786700015924,,nan,nan,nan,nan,nan,nan,nan,nan,2.8463790745958812
nan,pause,21511.30170001603,21511.30070001603,nan,,nan,nan,nan,nan,nan,nan,nan,nan,4.081858133611599
6.109359155982707,inhale,21512.115700016195,21511.30170001603,21511.94670001616,,nan,nan,nan,nan,nan,nan,nan,nan,0.946014104970855
nan,pause,21512.116700016195,21512.115700016195,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-4.158556118866889
-3.597747423096098,exhale,21513.790700016536,21512.116700016195,21512.28670001623,,nan,nan,nan,nan,nan,nan,nan,nan,0.42469340123005495
nan,pause,21513.791700016536,21513.790700016536,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.2915937356935201
11.812583923206896,inhale,21514.609700016703,21513.791700016536,21514.286700016637,,nan,nan,nan,nan,nan,nan,nan,nan,1.614057644402556
nan,pause,21514.610700016703,21514.609700016703,nan,,nan,nan,nan,nan,nan,nan,nan,nan,1.6267578197440686
-5.4643264044436135,exhale,21516.149700017017,21514.610700016703,21514.78670001674,,nan,nan,nan,nan,nan,nan,nan,nan,1.4643870171360218
nan,pause,21516.150700017017,21516.149700017017,nan,,nan,nan,nan,nan,nan,nan,nan,nan,3.0074752507036058
12.684273811912126,inhale,21516.90970001717,21516.150700017017,21516.61670001711,,nan,nan,nan,nan,nan,nan,nan,nan,3.0701900197990923
nan,pause,21516.91070001717,21516.90970001717,nan,,nan,nan,nan,nan,nan,nan,nan,nan,2.232622111364517
-7.782319517923124,exhale,21518.451700017486,21516.91070001717,21517.116700017214,,nan,nan,nan,nan,nan,nan,nan,nan,2.7591924695019525
nan,pause,21518.452700017486,21518.451700017486,nan,,nan,nan,nan,nan,nan,nan,nan,nan,3.8318419885253547
18.13366599125122,inhale,21519.271700017653,21518.452700017486,21518.946700017586,,nan,nan,nan,nan,nan,nan,nan,nan,2.9229663250871845
nan,pause,21519.272700017653,21519.271700017653,nan,,nan,nan,nan,nan,nan,nan,nan,nan,5.037878176698268
-8.107943816931705,exhale,21520.93370001799,21519.272700017653,21519.45670001769,,nan,nan,nan,nan,nan,nan,nan,nan,3.514014732966152
nan,pause,21520.93470001799,21520.93370001799,nan,,nan,nan,nan,nan,nan,nan,nan,nan,4.491905040124848
17.993939897072977,inhale,21521.71570001815,21520.93470001799,21521.446700018096,,nan,nan,nan,nan,nan,nan,nan,nan,5.722110808514501
nan,pause,21521.71670001815,21521.71570001815,nan,,nan,nan,nan,nan,nan,nan,nan,nan,3.2464463381894637
-6.638951018105863,exhale,21523.350700018484,21521.71670001815,21521.946700018198,,nan,nan,nan,nan,nan,nan,nan,nan,1.9384309124114631
nan,pause,21523.351700018484,21523.350700018484,nan,,nan,nan,nan,nan,nan,nan,nan,nan,3.9593079833343268
18.646609440429224,inhale,21524.101700018637,21523.351700018484,21523.77670001857,,nan,nan,nan,nan,nan,nan,nan,nan,5.149731007566228
nan,pause,21524.102700018637,21524.101700018637,nan,,nan,nan,nan,nan,nan,nan,nan,nan,3.9504286363589003
-9.281634850058131,exhale,21525.78570001898,21524.102700018637,21524.286700018674,,nan,nan,nan,nan,nan,nan,nan,nan,-8.334731489262165
nan,pause,21525.78670001898,21525.78570001898,nan,,nan,nan,nan,nan,nan,nan,nan,nan,5.252669800301199
24.817760204772735,inhale,21526.509700019127,21525.78670001898,21526.116700019047,,nan,nan,nan,nan,nan,nan,nan,nan,3.6232795295245026
nan,pause,21526.510700019127,21526.509700019127,nan,,nan,nan,nan,nan,nan,nan,nan,nan,3.0235171924570734
-7.85648120414376,exhale,21528.109700019453,21526.510700019127,21526.77670001918,,nan,nan,nan,nan,nan,nan,nan,nan,2.757109107934184
nan,pause,21528.110700019453,21528.109700019453,nan,,nan,nan,nan,nan,nan,nan,nan,nan,2.53010872334222
22.720302373231196,inhale,21528.854700019605,21528.110700019453,21528.44670001952,,nan,nan,nan,nan,nan,nan,nan,nan,2.5027545592510343
nan,pause,21528.855700019605,21528.854700019605,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-2.3534480283151895
-7.906086679543323,exhale,21530.49670001994,21528.855700019605,21528.956700019626,,nan,nan,nan,nan,nan,nan,nan,nan,-2.140342514361544
nan,pause,21530.49770001994,21530.49670001994,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-1.3172193599832713
20.4293063353589,inhale,21531.262700020096,21530.49770001994,21530.78670002,,nan,nan,nan,nan,nan,nan,nan,nan,0.05103933033049346
nan,pause,21531.263700020096,21531.262700020096,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.0824862967378639
-9.966494706656047,exhale,21532.775700020404,21531.263700020096,21531.456700020135,,nan,nan,nan,nan,nan,nan,nan,nan,-0.46784946304152486
nan,pause,21532.776700020404,21532.775700020404,nan,,nan,nan,nan,nan,nan,nan,nan,nan,3.670219054660949
21.13442623287416,inhale,21533.573700020566,21532.776700020404,21533.116700020473,,nan,nan,nan,nan,nan,nan,nan,nan,0.4878010043026263
nan,pause,21533.574700020567,21533.573700020566,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.03251229256409244
-6.724719488967344,exhale,21535.278700020914,21533.574700020567,21533.78670002061,,nan,nan,nan,nan,nan,nan,nan,nan,-0.03473671354597596
nan,pause,21535.279700020914,21535.278700020914,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.2117419211181436
23.90114814231429,inhale,21536.019700021065,21535.279700020914,21535.616700020983,,nan,nan,nan,nan,nan,nan,nan,nan,0.08710312074940074
nan,pause,21536.020700021065,21536.019700021065,nan,,nan,nan,nan,nan,nan,nan,nan,nan,0.13857735976467653
-10.015543646248231,exhale,21537.643700021395,21536.020700021065,21536.116700021084,,nan,nan,nan,nan,nan,nan,nan,nan,-0.15199403743562265
nan,pause,21537.644700021396,21537.643700021395,nan,,nan,nan,nan,nan,nan,nan,nan,nan,-0.03401058362736842
25.26953358420346,inhale,21538.40070002155,21537.644700021396,21537.946700021457,,nan,nan,nan,nan,nan,nan,nan,nan,-0.2600055473505598
